metric_key,cycle,dataset_id,source_column,category
chem_AMMONIA_N,1314,WATER_CHEMISTRY,AMMONIA_N_RESULT,Water chemistry
chem_AMMONIA_N,1819,WATER_CHEMISTRY,AMMONIA_N_RESULT,Water chemistry
chem_AMMONIA_N,2324,WATER_CHEMISTRY,AMMONIA_N_RESULT,Water chemistry
chem_ANC,1314,WATER_CHEMISTRY,ANC_RESULT,Water chemistry
chem_ANC,1819,WATER_CHEMISTRY,ANC_RESULT,Water chemistry
chem_ANC,2324,WATER_CHEMISTRY,ANC_RESULT,Water chemistry
chem_CALCIUM,1314,WATER_CHEMISTRY,CALCIUM_RESULT,Water chemistry
chem_CALCIUM,1819,WATER_CHEMISTRY,CALCIUM_RESULT,Water chemistry
chem_CALCIUM,2324,WATER_CHEMISTRY,CALCIUM_RESULT,Water chemistry
chem_CHLORIDE,1314,WATER_CHEMISTRY,CHLORIDE_RESULT,Water chemistry
chem_CHLORIDE,1819,WATER_CHEMISTRY,CHLORIDE_RESULT,Water chemistry
chem_CHLORIDE,2324,WATER_CHEMISTRY,CHLORIDE_RESULT,Water chemistry
chem_COLOR,1314,WATER_CHEMISTRY,COLOR_RESULT,Water chemistry
chem_COLOR,1819,WATER_CHEMISTRY,COLOR_RESULT,Water chemistry
chem_COLOR,2324,WATER_CHEMISTRY,COLOR_RESULT,Water chemistry
chem_COND,1314,WATER_CHEMISTRY,COND_RESULT,Water chemistry
chem_COND,1819,WATER_CHEMISTRY,COND_RESULT,Water chemistry
chem_COND,2324,WATER_CHEMISTRY,COND_RESULT,Water chemistry
chem_DOC,1314,WATER_CHEMISTRY,DOC_RESULT,Water chemistry
chem_DOC,1819,WATER_CHEMISTRY,DOC_RESULT,Water chemistry
chem_DOC,2324,WATER_CHEMISTRY,DOC_RESULT,Water chemistry
chem_MAGNESIUM,1314,WATER_CHEMISTRY,MAGNESIUM_RESULT,Water chemistry
chem_MAGNESIUM,1819,WATER_CHEMISTRY,MAGNESIUM_RESULT,Water chemistry
chem_MAGNESIUM,2324,WATER_CHEMISTRY,MAGNESIUM_RESULT,Water chemistry
chem_NITRATE_N,1314,WATER_CHEMISTRY,NITRATE_N_RESULT,Water chemistry
chem_NITRATE_N,1819,WATER_CHEMISTRY,NITRATE_N_RESULT,Water chemistry
chem_NITRATE_N,2324,WATER_CHEMISTRY,NITRATE_N_RESULT,Water chemistry
chem_NITRATE_NITRITE_N,1314,WATER_CHEMISTRY,NITRATE_NITRITE_N_RESULT,Water chemistry
chem_NITRATE_NITRITE_N,1819,WATER_CHEMISTRY,NITRATE_NITRITE_N_RESULT,Water chemistry
chem_NITRATE_NITRITE_N,2324,WATER_CHEMISTRY,NITRATE_NITRITE_N_RESULT,Water chemistry
chem_NITRITE_N,1314,WATER_CHEMISTRY,NITRITE_N_RESULT,Water chemistry
chem_NITRITE_N,1819,WATER_CHEMISTRY,NITRITE_N_RESULT,Water chemistry
chem_NITRITE_N,2324,WATER_CHEMISTRY,NITRITE_N_RESULT,Water chemistry
chem_NTL_DISS,1819,WATER_CHEMISTRY,NTL_DISS_RESULT,Water chemistry
chem_NTL,1314,WATER_CHEMISTRY,NTL_RESULT,Water chemistry
chem_NTL,1819,WATER_CHEMISTRY,NTL_RESULT,Water chemistry
chem_NTL,2324,WATER_CHEMISTRY,NTL_RESULT,Water chemistry
chem_PH,1314,WATER_CHEMISTRY,PH_RESULT,Water chemistry
chem_PH,1819,WATER_CHEMISTRY,PH_RESULT,Water chemistry
chem_PH,2324,WATER_CHEMISTRY,PH_RESULT,Water chemistry
chem_POTASSIUM,1314,WATER_CHEMISTRY,POTASSIUM_RESULT,Water chemistry
chem_POTASSIUM,1819,WATER_CHEMISTRY,POTASSIUM_RESULT,Water chemistry
chem_POTASSIUM,2324,WATER_CHEMISTRY,POTASSIUM_RESULT,Water chemistry
chem_PTL_DISS,1819,WATER_CHEMISTRY,PTL_DISS_RESULT,Water chemistry
chem_PTL,1314,WATER_CHEMISTRY,PTL_RESULT,Water chemistry
chem_PTL,1819,WATER_CHEMISTRY,PTL_RESULT,Water chemistry
chem_PTL,2324,WATER_CHEMISTRY,PTL_RESULT,Water chemistry
chem_SILICA,1314,WATER_CHEMISTRY,SILICA_RESULT,Water chemistry
chem_SILICA,1819,WATER_CHEMISTRY,SILICA_RESULT,Water chemistry
chem_SILICA,2324,WATER_CHEMISTRY,SILICA_RESULT,Water chemistry
chem_SODIUM,1314,WATER_CHEMISTRY,SODIUM_RESULT,Water chemistry
chem_SODIUM,1819,WATER_CHEMISTRY,SODIUM_RESULT,Water chemistry
chem_SODIUM,2324,WATER_CHEMISTRY,SODIUM_RESULT,Water chemistry
chem_SULFATE,1314,WATER_CHEMISTRY,SULFATE_RESULT,Water chemistry
chem_SULFATE,1819,WATER_CHEMISTRY,SULFATE_RESULT,Water chemistry
chem_SULFATE,2324,WATER_CHEMISTRY,SULFATE_RESULT,Water chemistry
chem_TKN,1819,WATER_CHEMISTRY,TKN_RESULT,Water chemistry
chem_TSS,1314,WATER_CHEMISTRY,TSS_RESULT,Water chemistry
chem_TSS,1819,WATER_CHEMISTRY,TSS_RESULT,Water chemistry
chem_TSS,2324,WATER_CHEMISTRY,TSS_RESULT,Water chemistry
chem_TURB,1314,WATER_CHEMISTRY,TURB_RESULT,Water chemistry
chem_TURB,1819,WATER_CHEMISTRY,TURB_RESULT,Water chemistry
chem_TURB,2324,WATER_CHEMISTRY,TURB_RESULT,Water chemistry
chem_CHLA,1314,PERIPHYTON_CHLA,CHLA_RESULT,Water chemistry
chem_CHLA,1819,WATER_CHEMISTRY,CHLA_RESULT,Water chemistry
chem_CHLA,2324,WATER_CHEMISTRY,CHLA_RESULT,Water chemistry
chem_PHEO,1819,WATER_CHEMISTRY,PHEO_RESULT,Water chemistry
phab_XBKA,1314,PHAB_LARGER,XBKA,Physical habitat
phab_XBKA,1819,PHAB,XBKA,Physical habitat
phab_XBKA,2324,PHAB,XBKA,Physical habitat
phab_MEDBK_A,1314,PHAB_LARGER,MEDBK_A,Physical habitat
phab_MEDBK_A,1819,PHAB,MEDBK_A,Physical habitat
phab_MEDBK_A,2324,PHAB,MEDBK_A,Physical habitat
phab_XUN,1314,PHAB_LARGER,XUN,Physical habitat
phab_XUN,1819,PHAB,XUN,Physical habitat
phab_XUN,2324,PHAB,XUN,Physical habitat
